,name,photo,birthday,url,player_id,teams
28,Lucas Silva,https://tmssl.akamaized.net/images/portrait/header/default.jpg,30/01/1998,/lucas-silva/profil/spieler/644158,644158,[614]
29,Orlando Berrío,https://tmssl.akamaized.net/images/portrait/header/119197-1469090366.jpg,14/02/1991,/orlando-berrio/profil/spieler/119197,119197,[614]
30,Gabriel Barbosa,https://tmssl.akamaized.net/images/portrait/header/244275-1473406706.jpg,30/08/1996,/gabriel-barbosa/profil/spieler/244275,244275,"[614, 221]"
31,Pedro,https://tmssl.akamaized.net/images/portrait/header/432895-1533634320.jpg,20/06/1997,/pedro/profil/spieler/432895,432895,"[614, 2462]"
32,Lincoln,https://tmssl.akamaized.net/images/portrait/header/372046-1543582340.jpg,16/12/2000,/lincoln/profil/spieler/372046,372046,[614]
33,Alex Muralha,https://tmssl.akamaized.net/images/portrait/header/277743-1517578047.jpg,10/11/1989,/alex-muralha/profil/spieler/277743,277743,"[614, 776, 4064]"
34,Thiago da Silva,https://tmssl.akamaized.net/images/portrait/header/294817-1543584780.jpg,12/06/1996,/thiago-da-silva/profil/spieler/294817,294817,"[614, 2863]"
35,Yago Darub,https://tmssl.akamaized.net/images/portrait/header/default.jpg,13/09/1999,/yago-darub/profil/spieler/584695,584695,[614]
36,Léo Duarte,https://tmssl.akamaized.net/images/portrait/header/312678-1543846295.jpg,17/07/1996,/leo-duarte/profil/spieler/312678,312678,[614]
37,Rhodolfo,https://tmssl.akamaized.net/images/portrait/header/55322-1543846230.jpg,11/08/1986,/rhodolfo/profil/spieler/55322,55322,"[614, 210, 585, 679, 776]"
38,Pablo Marí,https://tmssl.akamaized.net/images/portrait/header/210178-1502186711.jpg,31/08/1993,/pablo-mari/profil/spieler/210178,210178,[614]
39,Juan,https://tmssl.akamaized.net/images/portrait/header/1599-1447749353.jpg,1/02/1979,/juan/profil/spieler/1599,1599,"[614, 6600]"
40,Miguel Trauco,https://tmssl.akamaized.net/images/portrait/header/177690-1563525790.png,25/08/1992,/miguel-trauco/profil/spieler/177690,177690,[614]
41,Rodinei,https://tmssl.akamaized.net//bilder/spielerfotos/s_185966_2035_2012_1.jpg,29/01/1992,/rodinei/profil/spieler/185966,185966,"[614, 199, 6600, 2035, 1134]"
42,Pará,https://tmssl.akamaized.net/images/portrait/header/76100-1571745651.jpg,14/02/1986,/para/profil/spieler/76100,76100,"[614, 210, 221, 7478]"
43,Klebinho,https://tmssl.akamaized.net/images/portrait/header/323868-1445961984.jpg,2/08/1998,/klebinho/profil/spieler/323868,323868,[614]
44,Gustavo Cuéllar,https://tmssl.akamaized.net/images/portrait/header/119333-1547634502.jpg,14/10/1992,/gustavo-cuellar/profil/spieler/119333,119333,[614]
45,Ronaldo,https://tmssl.akamaized.net/images/portrait/header/default.jpg,23/10/1996,/ronaldo/profil/spieler/405768,405768,"[614, 10010, 15172]"
46,Reinier,https://tmssl.akamaized.net/images/portrait/header/627226-1573118634.jpg,19/01/2002,/reinier/profil/spieler/627226,627226,[614]
47,Yuri,https://tmssl.akamaized.net/images/portrait/header/default.jpg,2/01/2001,/yuri/profil/spieler/432161,432161,[614]
48,Pepê,https://tmssl.akamaized.net/images/portrait/header/default.jpg,6/01/1998,/pepe/profil/spieler/606716,606716,[614]
49,Bill,https://tmssl.akamaized.net/images/portrait/header/default.jpg,7/05/1999,/bill/profil/spieler/659886,659886,"[614, 1134, 11449]"
50,Fernando Uribe,https://tmssl.akamaized.net/images/portrait/header/119030-1547648332.jpg,1/01/1988,/fernando-uribe/profil/spieler/119030,119030,"[614, 221]"
51,Vitor Gabriel,https://tmssl.akamaized.net/images/portrait/header/575373-1580490651.jpg,20/01/2000,/vitor-gabriel/profil/spieler/575373,575373,[614]
52,Júlio César,https://tmssl.akamaized.net/images/portrait/header/22412-1474546042.jpg,3/09/1979,/julio-cesar/profil/spieler/22412,22412,[614]
53,Réver,https://tmssl.akamaized.net/images/portrait/header/72489-1447749786.jpg,4/01/1985,/rever/profil/spieler/72489,72489,"[614, 210, 6600, 330]"
54,Michael,https://tmssl.akamaized.net/images/portrait/header/default.jpg,27/05/1999,/michael/profil/spieler/507322,507322,[614]
55,Thiago Ennes,https://tmssl.akamaized.net/images/portrait/header/451933-1485426572.jpg,5/03/1996,/thiago-ennes/profil/spieler/451933,451933,"[614, 3280]"
56,Jonas,https://tmssl.akamaized.net/images/portrait/header/default.jpg,8/10/1991,/jonas/profil/spieler/346870,346870,"[614, 776, 3319]"
57,Rômulo,https://tmssl.akamaized.net/images/portrait/header/140682-1543849756.jpg,19/09/1990,/romulo/profil/spieler/140682,140682,"[614, 210, 978]"
58,Jajá,https://tmssl.akamaized.net/images/portrait/header/364883-1496330399.jpg,18/03/1995,/jaja/profil/spieler/364883,364883,"[614, 2035, 5677]"
59,Jean Lucas,https://tmssl.akamaized.net/images/portrait/header/578872-1561038593.png,22/06/1998,/jean-lucas/profil/spieler/578872,578872,"[614, 221]"
60,Matheus Trindade,https://tmssl.akamaized.net/images/portrait/header/default.jpg,5/03/1996,/matheus-trindade/profil/spieler/395060,395060,"[614, 15172, 3330]"
61,Lucas Paquetá,https://tmssl.akamaized.net/images/portrait/header/444523-1484828143.jpg,27/08/1997,/lucas-paqueta/profil/spieler/444523,444523,[614]
62,Matheus Savio,https://tmssl.akamaized.net/images/portrait/header/312666-1518183067.jpg,15/04/1997,/matheus-savio/profil/spieler/312666,312666,"[614, 18545]"
63,Ederson,https://tmssl.akamaized.net/images/portrait/header/29035-1418655545.jpg,13/01/1986,/ederson/profil/spieler/29035,29035,"[614, 6600]"
64,Vinícius Júnior,https://tmssl.akamaized.net/images/portrait/header/371998-1512664721.jpg,12/07/2000,/vinicius-junior/profil/spieler/371998,371998,[614]
65,Éverton,https://tmssl.akamaized.net/images/portrait/header/76120-1524123758.jpg,11/12/1988,/everton/profil/spieler/76120,76120,"[614, 585, 679, 537, 309]"
66,Marlos Moreno,https://tmssl.akamaized.net/images/portrait/header/345654-1459496346.jpg,20/09/1996,/marlos-moreno/profil/spieler/345654,345654,[614]
67,Geuvânio,https://tmssl.akamaized.net/images/portrait/header/177009-1497862091.jpg,5/04/1992,/geuvanio/profil/spieler/177009,177009,"[614, 221, 330, 679]"
68,Henrique Dourado,https://tmssl.akamaized.net/images/portrait/header/270959-1445519735.jpg,15/09/1989,/henrique-dourado/profil/spieler/270959,270959,"[614, 1023, 221, 2462, 609, 10247]"
69,Paolo Guerrero,https://tmssl.akamaized.net/images/portrait/header/2989-1528720015.jpg,1/01/1984,/paolo-guerrero/profil/spieler/2989,2989,"[614, 199, 6600]"
70,Felipe Vizeu,https://tmssl.akamaized.net/images/portrait/header/425462-1592751000.png,12/03/1997,/felipe-vizeu/profil/spieler/425462,425462,"[614, 210]"
71,Nixon,https://tmssl.akamaized.net//bilder/spielerfotos/s_212087_614_2012_2.jpg,20/07/1992,/nixon/profil/spieler/212087,212087,"[614, 2863, 7209]"
72,Wendel,https://tmssl.akamaized.net/images/portrait/header/default.jpg,2/08/2000,/wendel/profil/spieler/589911,589911,[614]
73,Alejandro Donatti,https://tmssl.akamaized.net/images/portrait/header/119646-1506673259.png,24/10/1986,/alejandro-donatti/profil/spieler/119646,119646,[614]
74,Rafael Vaz,https://tmssl.akamaized.net/images/portrait/header/255805-1543846592.jpg,17/09/1988,/rafael-vaz/profil/spieler/255805,255805,"[614, 978, 3197, 2029]"
75,Márcio Araújo,https://tmssl.akamaized.net//bilder/spielerfotos/s_65162_1023_2012_2.jpg,11/06/1984,/marcio-araujo/profil/spieler/65162,65162,"[614, 1023, 330, 17776, 18545]"
76,Gabriel,https://tmssl.akamaized.net/images/portrait/header/174570-1515684814.jpg,6/01/1990,/gabriel/profil/spieler/174570,174570,"[614, 10010, 776, 8718]"
77,Federico Mancuello,https://tmssl.akamaized.net/images/portrait/header/96313-1515744975.jpg,26/03/1989,/federico-mancuello/profil/spieler/96313,96313,"[614, 609]"
78,Adryan,https://tmssl.akamaized.net/images/portrait/header/174835-1532792654.jpg,10/08/1994,/adryan/profil/spieler/174835,174835,"[614, 2035]"
79,Darío Conca,https://tmssl.akamaized.net/images/portrait/header/53877-1561130011.jpg,11/05/1983,/dario-conca/profil/spieler/53877,53877,"[614, 2462, 978]"
80,Cafu,https://tmssl.akamaized.net/images/portrait/header/default.jpg,22/01/1996,/cafu/profil/spieler/466279,466279,"[614, 2029, 8433]"
81,Thiago Santos,https://tmssl.akamaized.net/images/portrait/header/default.jpg,12/04/1995,/thiago-santos/profil/spieler/405769,405769,"[614, 17776]"
82,Marcelo Cirino,https://tmssl.akamaized.net/images/portrait/header/114514-1571741981.jpg,22/01/1992,/marcelo-cirino/profil/spieler/114514,114514,"[614, 6600, 679, 2125]"
83,Douglas Baggio,https://tmssl.akamaized.net/images/portrait/header/default.jpg,2/02/1995,/douglas-baggio/profil/spieler/191872,191872,"[614, 10560, 17561, 21599]"
84,Leandro Damião,https://tmssl.akamaized.net/images/portrait/header/139449-1454414211.jpg,22/07/1989,/leandro-damiao/profil/spieler/139449,139449,"[614, 6600, 221, 609]"
85,Paulo Victor,https://tmssl.akamaized.net/images/portrait/header/67886-1571658237.jpg,12/01/1987,/paulo-victor/profil/spieler/67886,67886,"[614, 210]"
86,Daniel Tenenbaum,https://tmssl.akamaized.net/images/portrait/header/default.jpg,19/04/1995,/daniel-tenenbaum/profil/spieler/345085,345085,[614]
87,Igor,https://tmssl.akamaized.net/images/portrait/header/default.jpg,27/06/1996,/igor/profil/spieler/366480,366480,[614]
88,César Martins,https://tmssl.akamaized.net/images/portrait/header/269467-1537526476.png,28/12/1992,/cesar-martins/profil/spieler/269467,269467,"[614, 1134, 10492]"
89,Rafael Dumas,https://tmssl.akamaized.net/images/portrait/header/default.jpg,13/03/1995,/rafael-dumas/profil/spieler/395059,395059,"[614, 4064, 2646, 6347, 10560, 21599]"
90,Jorge,https://tmssl.akamaized.net/images/portrait/header/345084-1542105366.png,28/03/1996,/jorge/profil/spieler/345084,345084,"[614, 221]"
91,Chiquinho,https://tmssl.akamaized.net//bilder/spielerfotos/s_104850_1134_2012_2.jpg,27/07/1989,/chiquinho/profil/spieler/104850,104850,"[614, 199, 221, 330, 2462, 776, 2125, 1134, 1785, 3270]"
92,Alan Patrick,https://tmssl.akamaized.net/images/portrait/header/104505-1569591279.png,13/05/1991,/alan-patrick/profil/spieler/104505,104505,"[614, 1023, 6600, 221]"
93,Héctor Canteros,https://tmssl.akamaized.net/images/portrait/header/96255-1576343518.jpeg,15/03/1989,/hector-canteros/profil/spieler/96255,96255,"[614, 17776]"
94,Fernandinho,https://tmssl.akamaized.net/images/portrait/header/76902-1460713973.jpg,25/11/1985,/fernandinho/profil/spieler/76902,76902,"[614, 210, 585, 330, 8698]"
95,Emerson,https://tmssl.akamaized.net/images/portrait/header/57159-1543928565.jpg,6/12/1978,/emerson/profil/spieler/57159,57159,"[614, 585, 199, 2462, 537, 1134]"
96,Samir,https://tmssl.akamaized.net/images/portrait/header/255744-1454586091.jpg,5/12/1994,/samir/profil/spieler/255744,255744,[614]
97,Bressan,https://tmssl.akamaized.net/images/portrait/header/256453-1583511728.jpg,15/01/1993,/bressan/profil/spieler/256453,256453,"[614, 210]"
98,Wallace Reis,https://tmssl.akamaized.net/images/portrait/header/68833-1589941919.png,26/12/1987,/wallace-reis/profil/spieler/68833,68833,"[614, 210, 199, 2125]"
99,Marcelo,https://tmssl.akamaized.net/images/portrait/header/default.jpg,26/08/1991,/marcelo/profil/spieler/333807,333807,"[614, 17776]"
100,Frauches,https://tmssl.akamaized.net//bilder/spielerfotos/s_184545_614_2012_2.jpg,28/09/1992,/frauches/profil/spieler/184545,184545,"[614, 4906]"
101,Pablo Armero,https://tmssl.akamaized.net/images/portrait/header/73786-1455534368.jpg,2/11/1986,/pablo-armero/profil/spieler/73786,73786,"[614, 1023, 10010, 18545, 1755]"
102,Anderson Pico,https://tmssl.akamaized.net/images/portrait/header/54031-1570642894.jpg,4/11/1988,/anderson-pico/profil/spieler/54031,54031,"[614, 210, 17776, 4064, 10492, 3973]"
103,Thallyson,https://tmssl.akamaized.net/images/portrait/header/235863-1543585191.jpg,1/12/1991,/thallyson/profil/spieler/235863,235863,"[614, 2029, 2125, 1755, 20092]"
104,Ayrton,https://tmssl.akamaized.net//bilder/spielerfotos/s_148606_1023_2012_2.jpg,19/04/1985,/ayrton/profil/spieler/148606,148606,"[614, 1023, 776, 15172, 2125, 4064, 6347, 11449, 5677]"
105,Digão,https://tmssl.akamaized.net/images/portrait/header/174822-1494191250.jpg,12/03/1993,/digao/profil/spieler/174822,174822,"[614, 1751]"
106,Víctor Cáceres,https://tmssl.akamaized.net//bilder/spielerfotos/s_63076_614_2012_3.jpg,25/03/1985,/victor-caceres/profil/spieler/63076,63076,[614]
107,Luiz Antônio,https://tmssl.akamaized.net/images/portrait/header/127528-1563464874.jpg,11/03/1991,/luiz-antonio/profil/spieler/127528,127528,"[614, 10010, 8718, 17776]"
108,Lucas Mugni,https://tmssl.akamaized.net/images/portrait/header/148231-1504622975.png,12/01/1992,/lucas-mugni/profil/spieler/148231,148231,"[614, 8718]"
109,Arthur Maia,https://tmssl.akamaized.net//bilder/spielerfotos/s_141207_3330_2012_1.jpg,13/10/1992,/arthur-maia/profil/spieler/141207,141207,"[614, 17776, 2125, 3330, 1751]"
110,Almir,https://tmssl.akamaized.net//bilder/spielerfotos/s_72433_1751_2012_1.jpg,20/05/1982,/almir/profil/spieler/72433,72433,"[614, 330, 1134, 4064, 1751, 5677]"
111,Paulinho,https://tmssl.akamaized.net//bilder/spielerfotos/s_233536_614_2012_1.jpg,14/06/1988,/paulinho/profil/spieler/233536,233536,"[614, 221, 2125, 1755]"
112,Eduardo,https://tmssl.akamaized.net/images/portrait/header/24633-1554732622.jpg,25/02/1983,/eduardo/profil/spieler/24633,24633,"[614, 679]"
113,Alecsandro,https://tmssl.akamaized.net//bilder/spielerfotos/s_44131_330_2012_1.jpg,4/02/1981,/alecsandro/profil/spieler/44131,44131,"[614, 1023, 6600, 330, 978, 776, 609, 18545, 8433]"
114,Kayke,https://tmssl.akamaized.net/images/portrait/header/55378-1484228963.jpg,1/04/1988,/kayke/profil/spieler/55378,55378,"[614, 221, 2462, 10010, 3197, 15172, 309, 3973, 5677, 7209, 4906]"
115,Felipe,https://tmssl.akamaized.net/images/portrait/header/52880-1570643024.jpg,22/02/1984,/felipe/profil/spieler/52880,52880,"[614, 199, 8793, 4064]"
116,João Kuspiosz,https://tmssl.akamaized.net/images/portrait/header/305464-1547545030.png,10/10/1994,/joao-kuspiosz/profil/spieler/305464,305464,[614]
117,Frickson Erazo,https://tmssl.akamaized.net//bilder/spielerfotos/s_163434_614_2014_01_23_1.jpg,5/05/1988,/frickson-erazo/profil/spieler/163434,163434,"[614, 210, 330, 978]"
118,Welinton,https://tmssl.akamaized.net/images/portrait/header/95152-1567776321.png,10/04/1989,/welinton/profil/spieler/95152,95152,"[614, 776]"
119,Chicão,https://tmssl.akamaized.net//bilder/spielerfotos/s_54273_199_2012_2.jpg,3/06/1981,/chicao/profil/spieler/54273,54273,"[614, 199, 4064]"
120,Fernando,https://tmssl.akamaized.net/images/portrait/header/default.jpg,19/03/1993,/fernando/profil/spieler/296889,296889,"[614, 8793]"
121,João Paulo,https://tmssl.akamaized.net//bilder/spielerfotos/s_167471_614_2012_2.jpg,1/07/1986,/joao-paulo/profil/spieler/167471,167471,"[614, 1023, 10010, 2863, 1134, 4064, 1755]"
122,Léo Morais,https://tmssl.akamaized.net/images/portrait/header/150085-1554733566.jpg,3/10/1991,/leo-morais/profil/spieler/150085,150085,"[614, 6600, 2462, 679, 776, 2035, 2125]"
123,Léo Moura,https://tmssl.akamaized.net/images/portrait/header/29368-1571658651.jpg,23/10/1978,/leo-moura/profil/spieler/29368,29368,"[614, 210, 585, 1785]"
124,Amaral,https://tmssl.akamaized.net//bilder/spielerfotos/s_225686_614_2012_2.jpg,1/05/1988,/amaral/profil/spieler/225686,225686,"[614, 18545, 2125, 17561]"
125,Muralha,https://tmssl.akamaized.net//bilder/spielerfotos/s_174818_10247_2012_1.jpg,21/01/1993,/muralha/profil/spieler/174818,174818,"[614, 10247, 21599]"
126,Feijão,https://tmssl.akamaized.net//bilder/spielerfotos/s_258620_10010_2012_1.jpg,8/04/1994,/feijao/profil/spieler/258620,258620,"[614, 10010, 15172, 11449, 8433]"
127,Recife,https://tmssl.akamaized.net/images/portrait/header/default.jpg,14/10/1994,/recife/profil/spieler/320205,320205,"[614, 15172, 8294]"
128,Carlos Eduardo,https://tmssl.akamaized.net/images/portrait/header/52406-1580201414.jpg,18/07/1987,/carlos-eduardo/profil/spieler/52406,52406,"[614, 1023, 210, 330, 776, 2125, 309, 10492]"
129,André Santos,https://tmssl.akamaized.net/images/portrait/header/54275-1506028490.jpg,8/03/1983,/andre-santos/profil/spieler/54275,54275,"[614, 210, 199, 4064]"
130,Elano,https://tmssl.akamaized.net/images/portrait/header/20053-1413549445.jpg,14/06/1981,/elano/profil/spieler/20053,20053,"[614, 210, 221]"
131,Mattheus,https://tmssl.akamaized.net/images/portrait/header/226138-1547405332.png,7/07/1994,/mattheus/profil/spieler/226138,226138,[614]
132,Arthur Caíke,https://tmssl.akamaized.net//bilder/spielerfotos/s_224481_776_2012_1.jpg,15/06/1992,/arthur-caike/profil/spieler/224481,224481,"[614, 10010, 776, 15172, 17776, 309, 4064, 1785]"
133,Negueba,https://tmssl.akamaized.net/images/portrait/header/164997-1590000333.JPG,7/04/1992,/negueba/profil/spieler/164997,164997,"[614, 210, 585, 776, 1134, 1693]"
134,Hernane,https://tmssl.akamaized.net//bilder/spielerfotos/s_195004_614_2012_3.jpg,4/08/1986,/hernane/profil/spieler/195004,195004,"[614, 210, 10010, 8718, 309]"
135,Élton,https://tmssl.akamaized.net//bilder/spielerfotos/s_41052_2646_2012_1.jpg,1/08/1985,/elton/profil/spieler/41052,41052,"[614, 199, 978, 8718, 2029, 2125, 4064, 2646, 7478, 291]"
136,Lucas,https://tmssl.akamaized.net//bilder/spielerfotos/s_220986_614_2012_2.jpg,3/01/1992,/lucas/profil/spieler/220986,220986,[614]
137,Igor Sartori,https://tmssl.akamaized.net//bilder/spielerfotos/s_180634_2241_2010_1.jpg,8/01/1993,/igor-sartori/profil/spieler/180634,180634,"[614, 8793]"
138,Luan Polli,https://tmssl.akamaized.net/images/portrait/header/default.jpg,6/04/1993,/luan-polli/profil/spieler/273250,273250,"[614, 8718, 4064, 17561]"
139,Renato Santos,https://tmssl.akamaized.net//bilder/spielerfotos/s_76852_614_2012_2.jpg,30/01/1987,/renato-santos/profil/spieler/76852,76852,"[614, 8793, 2035, 2125, 2863, 3330, 8698, 4906, 20092, 3334]"
140,Marcos González,https://tmssl.akamaized.net/images/portrait/header/28087-1469552641.png,9/06/1980,/marcos-gonzalez/profil/spieler/28087,28087,[614]
141,Ramon Motta,https://tmssl.akamaized.net/images/portrait/header/55270-1478265991.jpg,6/05/1988,/ramon-motta/profil/spieler/55270,55270,"[614, 199, 6600, 978]"
142,Pablo Andrade,https://tmssl.akamaized.net/images/portrait/header/default.jpg,15/02/1994,/pablo-andrade/profil/spieler/296885,296885,[614]
143,Lenon,https://tmssl.akamaized.net//bilder/spielerfotos/s_108621_2646_2010_2.jpg,2/05/1990,/lenon/profil/spieler/108621,108621,"[614, 978, 3197, 8718, 2646, 1755, 28022]"
144,Diego Silva,https://tmssl.akamaized.net//bilder/spielerfotos/s_236357_614_2012_1.jpg,9/05/1989,/diego-silva/profil/spieler/236357,236357,"[614, 15172, 10247, 8698, 3319]"
145,Val,https://tmssl.akamaized.net//bilder/spielerfotos/s_227848_614_2012_1.jpg,22/08/1983,/valtm/profil/spieler/227848,227848,"[614, 10010, 1751]"
146,Elias,https://tmssl.akamaized.net/images/portrait/header/74600-1547646750.jpg,16/05/1985,/elias/profil/spieler/74600,74600,"[614, 199, 330]"
147,Renato Abreu,https://tmssl.akamaized.net//bilder/spielerfotos/s_53075_221_2012_1.jpg,9/06/1978,/renato-abreu/profil/spieler/53075,53075,"[614, 199, 221]"
148,Rafinha,https://tmssl.akamaized.net//bilder/spielerfotos/s_184548_614_2012_2.jpg,1/04/1993,/rafinha/profil/spieler/184548,184548,"[614, 10010, 15172, 2035, 8433]"
149,Fernandinho,https://tmssl.akamaized.net/images/portrait/header/230937-1566569723.jpg,16/03/1993,/fernandinho/profil/spieler/230937,230937,[614]
150,Bruninho,https://tmssl.akamaized.net//bilder/spielerfotos/s_268503_614_2012_1.jpg,25/02/1990,/bruninho/profil/spieler/268503,268503,"[614, 8718, 2863, 21599]"
151,Rodolfo,https://tmssl.akamaized.net//bilder/spielerfotos/s_268521_614_2012_1.jpg,3/05/1993,/rodolfo/profil/spieler/268521,268521,"[614, 776, 1134, 11449, 21829, 8433]"
152,Marcelo Moreno,https://tmssl.akamaized.net/images/portrait/header/54162-1487064845.jpg,18/06/1987,/marcelo-moreno/profil/spieler/54162,54162,"[614, 210, 609]"
153,Marcelo Carné,https://tmssl.akamaized.net//bilder/spielerfotos/s_14881_614_2012_1.jpg,6/02/1990,/marcelo-carne/profil/spieler/14881,14881,"[614, 10492, 15656]"
154,Alex Silva,https://tmssl.akamaized.net/images/portrait/header/26100-1505485233.jpg,10/03/1985,/alex-silva/profil/spieler/26100,26100,"[614, 585, 609, 17561]"
155,David Braz,https://tmssl.akamaized.net/images/portrait/header/53226-1571658415.jpg,21/05/1987,/david-braz/profil/spieler/53226,53226,"[614, 1023, 210, 221, 2125]"
156,Gustavo,https://tmssl.akamaized.net//bilder/spielerfotos/s_118273_2029_2012_1.jpg,20/02/1986,/gustavo/profil/spieler/118273,118273,"[614, 2029, 15172, 3270, 5677, 1693, 17561, 15656]"
157,Thiago Medeiros,https://tmssl.akamaized.net//bilder/spielerfotos/s_227249_614_2012_1.jpg,19/12/1991,/thiago-medeiros/profil/spieler/227249,227249,"[614, 2035, 3330]"
158,Marllon,https://tmssl.akamaized.net/images/portrait/header/166032-1580198889.jpg,16/04/1992,/marllon/profil/spieler/166032,166032,"[614, 199, 10010, 15172, 609, 1134, 1785]"
159,Arthur Sanches,https://tmssl.akamaized.net//bilder/spielerfotos/s_227923_3330_2012_1.jpg,28/03/1988,/arthur-sanches/profil/spieler/227923,227923,"[614, 8294]"
160,Ronaldo Angelim,https://tmssl.akamaized.net//bilder/spielerfotos/s_53055_8698_2010_1.jpg,26/11/1975,/ronaldo-angelim/profil/spieler/53055,53055,"[614, 10870, 8698]"
161,Júnior César,https://tmssl.akamaized.net//bilder/spielerfotos/s_53312_330_2012_1.jpg,9/04/1982,/junior-cesar/profil/spieler/53312,53312,"[614, 585, 330, 2462, 537]"
162,Rodrigo Alvim,https://tmssl.akamaized.net//bilder/spielerfotos/s_40984_6347_2012_1.jpg,25/11/1983,/rodrigo-alvim/profil/spieler/40984,40984,"[614, 3330, 6347]"
163,Magal,https://tmssl.akamaized.net//bilder/spielerfotos/s_150185_10010_2012_1.jpg,28/06/1987,/magal/profil/spieler/150185,150185,"[614, 8793, 1134, 10247, 15064, 20092]"
164,Rafael Galhardo,https://tmssl.akamaized.net/images/portrait/header/124701-1552312924.jpg,30/10/1991,/rafael-galhardo/profil/spieler/124701,124701,"[614, 210, 221, 978, 679, 10010, 609]"
